"Year";"Precipitation (Annual Mean mm)";"5-year smooth (Gaussian Smooth)"
1901;2030,26;1799,48
1902;1750,58;1798
1903;1556,51;1795,64
1904;1923,62;1791,51
1905;1473,03;1784,76
1906;1554,87;1774,49
1907;1902,46;1760,19
1908;2096,06;1745,59
1909;2087,88;1737,46
1910;1663,42;1742,47
1911;1558,98;1767,36
1912;1568,15;1818,9
1913;2181,44;1894,48
1914;1529,47;1976,88
1915;2285,1;2047,38
1916;2063,25;2087,29
1917;2367,55;2077,6
1918;2026,04;2006,43
1919;1794,84;1892,24
1920;1286,21;1761,83
1921;2006,71;1643,13
1922;1586,37;1562,94
1923;1342,38;1546,55
1924;1911,47;1592,28
1925;1941,03;1677,5
1926;1027,66;1779,43
1927;2068,93;1875,23
1928;2215,59;1942,29
1929;2003,86;1968,73
1930;1792,64;1964,5
1931;1755,15;1941,65
1932;2178,02;1912,17
1933;1681,68;1888,32
1934;2214,62;1879,43
1935;1990,77;1881,2
1936;1509,3;1884,88
1937;1725,46;1881,68
1938;2167,31;1862,85
1939;1646,76;1820,28
1940;1500,88;1756,62
1941;2156,41;1684,43
1942;1328,89;1616,01
1943;2217,84;1563,81
1944;1367,46;1540,23
1945;1322,41;1551,55
1946;1325,85;1590,35
1947;1808,55;1647,64
1948;1339,12;1714,61
1949;2131,04;1781,88
1950;1801,21;1841,27
1951;2220,26;1888,37
1952;1430,48;1920,29
1953;2604,62;1933,89
1954;1558,7;1926,3
1955;1808,59;1894,79
1956;1672,85;1841,24
1957;2067,22;1772,56
1958;1551,4;1695,4
1959;1796,23;1616,51
1960;1301,48;1542,49
1961;1481,07;1480,43
1962;1388,22;1436,53
1963;1482,47;1417,19
1964;1405,85;1428,88
1965;2042,99;1477,95
1966;1607,52;1568,32
1967;1385,17;1687,25
1968;1361,7;1815,41
1969;2033,19;1932,33
1970;1814,27;2018,65
1971;1937,22;2055,27
1972;2616,31;2039,05
1973;1892,53;1984,12
1974;1816,31;1905,3
1975;2306,15;1817,44
1976;2009,8;1735,15
1977;1391,02;1670,23
1978;1294,48;1624,27
1979;1159,94;1597,5
1980;1389,47;1590,16
1981;1546,54;1602,51
1982;1859,26;1633,83
1983;2594,93;1676,38
1984;1933,78;1719,19
1985;1153,77;1750,9
1986;1475,25;1760,55
1987;1880,5;1737,46
1988;1617,85;1684,7
1989;1626,8;1622,38
1990;1490,17;1571,13
1991;1296,52;1551,67
1992;2372,88;1584,94
1993;1775,18;1680,77
1994;1811,6;1815,98
1995;1434,34;1961,02
1996;1348,93;2086,61
1997;2315,35;2162,44
1998;3140,61;2162,86
1999;2069,08;2093,77
2000;1790,07;1977,71
2001;1341,85;1838,41
2002;2176,75;1698,66
2003;1996,48;1581,27
2004;1315,91;1499,48
2005;940,74;1454,56
2006;1362,28;1446,22
2007;1401,98;1474,4
2008;1900,55;1539,31
2009;1202,24;1637,42
2010;2337,44;1754,8
2011;1799,82;1874,95
2012;2352,1;1981,65
2013;1757,35;2057,79
2014;1642,17;2088,86
2015;2430,97;2077,22
2016;1599,18;2035,39
2017;2551,17;1976,44
2018;1426,92;1913,09
2019;2319,22;1858,04
2020;1806,81;1817,86
2021;1687,22;1790,35
2022;1608,35;1772,27
2023;1730,71;1760,46
2024;1869,95;1751,78
